9;467.62216;463.68686;511.11087;0.23682757;22.32595;42.362335;0.12951013;0.0;-0.0;20;11;2018;5;1;34;831;
19;467.6511;463.68686;511.11087;0.23793264;22.300556;42.362335;0.13052715;0.0;-0.0;20;11;2018;5;1;34;831;
29;467.66727;463.68686;511.11087;0.23855165;22.254135;42.362335;0.13240391;0.0;-0.0;20;11;2018;5;1;34;831;
39;467.707;463.68686;511.11087;0.24007598;22.295477;42.362335;0.13073139;0.0;-0.0;20;11;2018;5;1;34;831;
49;467.7521;463.68686;511.11087;0.24181548;22.323605;42.362335;0.1296038;0.0;-0.0;20;11;2018;5;1;34;831;
59;467.68195;463.68686;511.11087;0.23911369;22.279621;42.362335;0.13137071;0.0;-0.0;20;11;2018;5;1;34;831;
69;467.69238;463.68686;511.11087;0.23951447;22.317621;42.362335;0.12984298;0.0;-0.0;20;11;2018;5;1;34;831;
79;467.78598;463.68686;511.11087;0.24312748;22.327063;42.362335;0.12946574;0.0;-0.0;20;11;2018;5;1;34;831;
89;467.8358;463.68686;511.11087;0.24506539;22.226397;42.362335;0.13353622;0.0;-0.0;20;11;2018;5;1;34;831;
99;467.7195;463.68686;511.11087;0.24055764;22.288189;42.362335;0.13102497;0.0;-0.0;20;11;2018;5;1;34;831;
109;467.70413;463.68686;511.11087;0.2399657;22.28225;42.362335;0.13126455;0.0;-0.0;20;11;2018;5;1;34;831;
119;467.81363;463.68686;511.11087;0.24420209;22.256529;42.362335;0.13230662;0.0;-0.0;20;11;2018;5;1;34;831;
129;467.76883;463.68686;511.11087;0.24246292;22.255863;42.362335;0.13233362;0.0;-0.0;20;11;2018;5;1;34;831;
139;467.81378;463.68686;511.11087;0.24420793;22.230762;42.362335;0.13335751;0.0;-0.0;20;11;2018;5;1;34;831;
150;467.81378;463.68686;511.11087;0.24420793;22.230762;42.362335;0.13335751;0.0;-0.0;20;11;2018;5;1;34;831;
160;467.70767;463.68686;511.11087;0.24010175;22.24004;42.362335;0.13297825;0.0;-0.0;20;11;2018;5;1;34;831;
170;467.7802;463.68686;511.11087;0.24290355;22.199455;42.362335;0.13464385;0.0;-0.0;20;11;2018;5;1;34;831;
180;467.8019;463.68686;511.11087;0.24374574;22.163254;42.362335;0.13614437;0.0;-0.0;20;11;2018;5;1;34;831;
190;467.75418;463.68686;511.11087;0.24189593;22.076252;42.362335;0.13980809;0.0;-0.0;20;11;2018;5;1;34;831;
203;467.75418;463.68686;511.11087;0.24189593;22.076252;42.362335;0.13980809;0.0;-0.0;20;11;2018;5;1;34;831;
213;467.8732;463.68686;511.11087;0.24652787;22.030643;42.362335;0.14176153;0.0;-0.0;20;11;2018;5;1;34;831;
223;467.87073;463.68686;511.11087;0.24643052;22.023827;42.362335;0.14205545;0.0;-0.0;20;11;2018;5;1;34;831;
233;467.9296;463.68686;511.11087;0.24874322;22.011599;42.362335;0.14258394;0.0;-0.0;20;11;2018;5;1;34;831;
243;468.01193;463.68686;511.11087;0.252002;21.958002;42.362335;0.1449198;0.0;-0.0;20;11;2018;5;1;34;831;
253;468.01175;463.68686;511.11087;0.25199413;21.969551;42.362335;0.14441381;0.0;-0.0;20;11;2018;5;1;34;831;
263;468.11813;463.68686;511.11087;0.25624588;21.94789;42.362335;0.14536402;0.0;-0.0;20;11;2018;5;1;34;831;
273;468.17758;463.68686;511.11087;0.25864193;21.931984;42.362335;0.1460651;0.0;-0.0;20;11;2018;5;1;34;831;
283;468.2489;463.68686;511.11087;0.26153684;21.91572;42.362335;0.14678486;0.0;-0.0;20;11;2018;5;1;34;831;
293;468.4392;463.68686;511.11087;0.26936066;21.916845;42.362335;0.14673492;0.0;-0.0;20;11;2018;5;1;34;831;
303;468.54965;463.68686;511.11087;0.27396804;21.929129;42.362335;0.14619124;0.0;-0.0;20;11;2018;5;1;34;831;
313;468.72818;463.68686;511.11087;0.28151977;21.974112;42.362335;0.14421435;0.0;-0.0;20;11;2018;5;1;34;831;
323;468.97327;463.68686;511.11087;0.2920884;21.983551;42.362335;0.14380236;0.0;-0.0;20;11;2018;5;1;34;831;
333;469.15125;463.68686;511.11087;0.2999083;21.99878;42.362335;0.14313981;0.0;-0.0;20;11;2018;5;1;34;831;
343;469.37637;463.68686;511.11087;0.3099699;21.995863;42.362335;0.14326648;0.0;-0.0;20;11;2018;5;1;34;831;
353;469.29724;463.68686;511.11087;0.3064123;22.023308;42.362335;0.14207786;0.0;-0.0;20;11;2018;5;1;34;831;
363;469.61923;463.68686;511.11087;0.32102725;22.043823;42.362335;0.14119475;0.0;-0.0;20;11;2018;5;1;34;831;
374;469.61923;463.68686;511.11087;0.32102725;22.043823;42.362335;0.14119475;0.0;-0.0;20;11;2018;5;1;34;831;
384;470.02658;463.68686;511.11087;0.34002948;22.079334;42.362335;0.1396769;0.0;-0.0;20;11;2018;5;1;34;831;
394;470.36365;463.68686;511.11087;0.35615575;22.098494;42.362335;0.13886374;0.0;-0.0;20;11;2018;5;1;34;831;
404;470.782;463.68686;511.11087;0.37663132;22.151976;42.362335;0.13661465;0.0;-0.0;20;11;2018;5;1;34;831;
414;471.2102;463.68686;511.11087;0.39805207;22.169924;42.362335;0.13586682;0.0;-0.0;20;11;2018;5;1;34;831;
424;471.70624;463.68686;511.11087;0.423361;22.16216;42.362335;0.13618991;0.0;-0.0;20;11;2018;5;1;34;831;
434;472.11157;463.68686;511.11087;0.44434994;22.215843;42.362335;0.13396919;0.0;-0.0;20;11;2018;5;1;34;831;
