NO_OF_FRAMES	4660
NO_OF_CAMERAS	8
NO_OF_MARKERS	29
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	valerio - bad - combined
TIME_STAMP	2018-12-13, 17:55:51	254697.16516621
DATA_INCLUDED	3D
MARKER_NAMES	barbell_right	barbell_left	barbell_clip_left	foot_right	foot_left	ankle_right	shin_right	knee_right	ankle_left	shin_left	knee_left	thigh_right	thigh_left	wrist_left	wrist_right	hip_left	hip_right	spine_0	spine_1	spine_2	spine_3	shoulder_right	elbow_right	elbow_left	shoulder_left	head_back	head_right	head_front	head_left
barbell_right X	barbell_right Y	barbell_right Z	barbell_left X	barbell_left Y	barbell_left Z	barbell_clip_left X	barbell_clip_left Y	barbell_clip_left Z	foot_right X	foot_right Y	foot_right Z	foot_left X	foot_left Y	foot_left Z	ankle_right X	ankle_right Y	ankle_right Z	shin_right X	shin_right Y	shin_right Z	knee_right X	knee_right Y	knee_right Z	ankle_left X	ankle_left Y	ankle_left Z	shin_left X	shin_left Y	shin_left Z	knee_left X	knee_left Y	knee_left Z	thigh_right X	thigh_right Y	thigh_right Z	thigh_left X	thigh_left Y	thigh_left Z	wrist_left X	wrist_left Y	wrist_left Z	wrist_right X	wrist_right Y	wrist_right Z	hip_left X	hip_left Y	hip_left Z	hip_right X	hip_right Y	hip_right Z	spine_0 X	spine_0 Y	spine_0 Z	spine_1 X	spine_1 Y	spine_1 Z	spine_2 X	spine_2 Y	spine_2 Z	spine_3 X	spine_3 Y	spine_3 Z	shoulder_right X	shoulder_right Y	shoulder_right Z	elbow_right X	elbow_right Y	elbow_right Z	elbow_left X	elbow_left Y	elbow_left Z	shoulder_left X	shoulder_left Y	shoulder_left Z	head_back X	head_back Y	head_back Z	head_right X	head_right Y	head_right Z	head_front X	head_front Y	head_front Z	head_left X	head_left Y	head_left Z	
131.206	-1099.103	190.761	143.162	1121.586	189.858	158.701	790.402	260.127	71.825	-161.442	-22.537	103.889	181.005	-22.193	-82.760	-147.129	2.767	-25.917	-164.752	239.532	23.497	-150.901	397.529	-45.593	193.686	-4.411	-17.041	198.222	209.382	12.814	189.618	413.108	69.763	-164.859	589.383	54.531	203.921	607.615	94.404	263.791	717.326	117.947	-245.525	740.496	22.883	191.059	818.255	28.282	-170.880	819.446	-66.024	11.353	927.605	-65.357	6.669	995.679	-67.167	7.490	1051.396	-26.276	4.366	1371.027	16.891	-232.206	1272.109	8.051	-251.214	986.879	57.415	273.738	1018.130	45.424	240.024	1292.803	-56.629	-34.248	1539.694	121.859	-98.215	1576.485	193.177	18.351	1567.206	49.441	107.149	1566.446
131.206	-1099.082	190.751	143.170	1121.580	189.857	158.668	790.378	260.068	71.795	-161.457	-22.601	103.905	181.009	-22.209	-82.793	-147.147	2.810	-25.927	-164.754	239.519	23.509	-150.934	397.503	-45.590	193.691	-4.419	-16.977	198.195	209.397	12.838	189.565	413.118	69.591	-164.898	589.342	54.456	203.865	607.647	94.466	263.801	717.292	117.783	-245.573	740.458	22.637	191.051	818.276	28.108	-170.883	819.439	-66.262	11.247	927.578	-65.522	6.600	995.744	-67.314	7.443	1051.507	-26.020	4.423	1371.094	17.053	-232.140	1272.120	8.017	-251.237	986.890	57.619	273.806	1018.088	45.811	240.077	1292.784	-56.171	-34.130	1539.783	122.650	-97.936	1576.228	193.742	18.359	1566.984	50.064	107.222	1566.365
131.191	-1099.098	190.749	143.176	1121.575	189.859	158.652	790.361	260.093	71.795	-161.474	-22.609	103.928	180.998	-22.207	-82.773	-147.164	2.725	-25.880	-164.758	239.480	23.557	-150.958	397.490	-45.612	193.668	-4.400	-16.976	198.156	209.384	12.850	189.517	413.139	69.551	-164.891	589.359	54.351	203.837	607.671	94.541	263.796	717.267	117.648	-245.629	740.448	22.351	190.996	818.297	27.980	-170.898	819.472	-66.487	11.188	927.681	-65.714	6.557	995.861	-67.430	7.412	1051.630	-25.665	4.466	1371.149	17.267	-232.104	1272.150	8.000	-251.298	986.873	57.838	273.846	1018.083	46.175	240.110	1292.785	-55.656	-34.020	1539.876	123.128	-97.921	1576.108	195.081	18.323	1567.361	50.667	107.287	1566.322
131.168	-1099.084	190.704	143.162	1121.547	189.861	158.669	790.357	260.074	71.764	-161.448	-22.621	103.908	180.982	-22.187	-82.782	-147.208	2.736	-25.836	-164.767	239.470	23.553	-150.945	397.461	-45.600	193.671	-4.396	-16.937	198.153	209.376	12.863	189.498	413.138	69.506	-164.947	589.346	54.224	203.796	607.658	94.560	263.804	717.295	117.483	-245.673	740.411	22.137	190.986	818.291	27.797	-170.915	819.528	-66.672	11.142	927.768	-65.855	6.499	995.967	-67.526	7.377	1051.773	-25.327	4.540	1371.253	17.466	-232.037	1272.199	8.066	-251.304	986.978	58.065	273.917	1018.116	46.562	240.164	1292.800	-55.101	-33.871	1539.997	123.406	-98.121	1576.123	194.936	18.334	1566.504	51.321	107.369	1566.292
131.179	-1099.055	190.706	143.178	1121.579	189.883	158.679	790.364	260.094	71.753	-161.451	-22.586	103.931	180.968	-22.198	-82.787	-147.177	2.743	-25.794	-164.763	239.436	23.572	-150.958	397.441	-45.580	193.676	-4.398	-16.899	198.134	209.371	12.840	189.475	413.091	69.370	-164.939	589.323	54.039	203.803	607.651	94.648	263.844	717.275	117.275	-245.697	740.364	21.860	190.986	818.353	27.609	-170.928	819.507	-66.874	11.053	927.813	-66.092	6.436	996.098	-67.594	7.324	1051.889	-24.990	4.619	1371.326	17.753	-231.985	1272.234	8.056	-251.333	987.056	58.300	273.966	1018.120	46.968	240.204	1292.814	-54.546	-33.779	1540.078	125.033	-98.164	1575.315	195.551	18.325	1566.304	51.947	107.416	1566.268
131.225	-1099.084	190.707	143.171	1121.561	189.897	158.661	790.366	260.063	71.787	-161.463	-22.625	103.918	180.974	-22.199	-82.769	-147.182	2.705	-25.753	-164.742	239.398	23.668	-150.971	397.458	-45.579	193.672	-4.377	-16.875	198.110	209.321	12.915	189.469	413.147	69.411	-164.943	589.271	53.893	203.798	607.718	94.661	263.841	717.266	117.066	-245.769	740.364	21.592	190.986	818.358	27.487	-170.915	819.532	-67.095	11.025	927.897	-66.254	6.408	996.233	-67.696	7.313	1052.042	-24.590	4.666	1371.389	18.057	-231.957	1272.318	8.083	-251.367	987.111	58.497	274.014	1018.122	47.402	240.267	1292.884	-53.938	-33.707	1540.193	125.661	-98.099	1575.179	196.185	18.350	1566.082	52.632	107.490	1566.258
131.233	-1099.112	190.768	143.185	1121.570	189.870	158.688	790.376	260.065	71.774	-161.460	-22.587	103.921	180.968	-22.223	-82.780	-147.205	2.770	-25.632	-164.741	239.412	23.729	-150.953	397.414	-45.571	193.661	-4.378	-16.837	198.077	209.328	12.889	189.457	413.112	69.395	-164.958	589.308	53.715	203.791	607.744	94.733	263.864	717.318	116.803	-245.806	740.375	21.279	190.987	818.417	27.278	-170.931	819.538	-67.306	10.955	928.034	-66.397	6.357	996.388	-67.773	7.262	1052.229	-24.191	4.742	1371.536	18.365	-231.934	1272.411	8.129	-251.388	987.247	58.717	274.054	1018.159	47.778	240.300	1292.936	-53.292	-33.597	1540.324	125.330	-97.949	1575.721	196.856	18.392	1565.919	53.671	108.085	1566.321
131.213	-1099.084	190.769	143.192	1121.546	189.867	158.715	790.363	260.066	71.827	-161.411	-22.564	103.962	180.951	-22.142	-82.755	-147.226	2.782	-25.605	-164.727	239.358	23.824	-150.942	397.430	-45.555	193.648	-4.380	-16.805	198.052	209.337	12.909	189.463	413.148	69.282	-164.960	589.296	53.539	203.752	607.792	94.717	263.888	717.349	116.561	-245.885	740.378	20.896	190.983	818.477	27.090	-170.922	819.584	-67.628	10.895	928.141	-66.628	6.249	996.616	-67.925	7.201	1052.463	-22.913	4.284	1371.181	18.658	-231.890	1272.494	8.101	-251.408	987.370	58.935	274.115	1018.209	48.206	240.349	1292.997	-52.686	-33.538	1540.431	125.921	-97.930	1575.651	197.540	18.396	1565.710	54.012	107.593	1566.245
131.232	-1099.068	190.733	143.189	1121.570	189.852	158.670	790.363	260.069	71.828	-161.453	-22.568	103.960	180.951	-22.165	-82.737	-147.226	2.708	-25.447	-164.720	239.337	23.904	-150.950	397.358	-45.572	193.635	-4.405	-16.786	198.032	209.280	12.933	189.457	413.117	69.319	-164.972	589.341	53.356	203.778	607.826	94.714	263.922	717.357	116.318	-245.915	740.385	20.560	190.987	818.557	26.893	-170.934	819.576	-67.892	10.885	928.247	-66.866	6.209	996.822	-68.017	7.221	1052.707	-22.437	4.323	1371.353	19.105	-231.879	1272.613	8.182	-251.464	987.526	59.156	274.142	1018.246	48.740	240.398	1293.081	-51.978	-33.481	1540.551	126.727	-97.893	1575.553	198.275	18.462	1565.495	54.754	107.655	1566.209
131.231	-1099.094	190.752	143.201	1121.583	189.873	158.672	790.364	260.080	71.852	-161.404	-22.560	103.943	180.967	-22.211	-82.691	-147.202	2.751	-25.327	-164.717	239.281	24.069	-150.931	397.409	-45.574	193.649	-4.384	-16.789	198.038	209.261	12.969	189.478	413.167	69.254	-164.941	589.367	53.117	203.767	607.835	94.663	263.938	717.414	116.055	-245.959	740.384	20.134	190.993	818.634	26.748	-170.907	819.659	-68.177	10.824	928.378	-67.058	6.197	997.009	-68.097	7.135	1052.875	-22.760	4.847	1371.900	19.558	-231.877	1272.744	8.192	-251.500	987.678	59.386	274.215	1018.300	49.185	240.436	1293.148	-51.266	-33.432	1540.701	127.440	-97.797	1575.408	199.738	18.505	1565.890	55.456	107.700	1566.184
